32367932.batch|batch|COMPLETED|287|00:04:47|1870744K|2
32367932.extern|extern|COMPLETED|287|00:04:47|256K|2
32367933|bsk-baseline-mc|COMPLETED|222|00:03:42||2
32367933.batch|batch|COMPLETED|222|00:03:42|1866136K|2
32367933.extern|extern|COMPLETED|222|00:03:42|256K|2
32367934|bsk-baseline-mc|COMPLETED|237|00:03:57||2
32367934.batch|batch|COMPLETED|237|00:03:57|2112912K|2
32367934.extern|extern|COMPLETED|237|00:03:57|256K|2
32367938|bsk-baseline-mc|COMPLETED|319|00:05:19||2
32367938.batch|batch|COMPLETED|319|00:05:19|1869728K|2
32367938.extern|extern|COMPLETED|319|00:05:19|256K|2
32367949|bsk-baseline-mc|COMPLETED|295|00:04:55||2
32367949.batch|batch|COMPLETED|295|00:04:55|1868160K|2
32367949.extern|extern|COMPLETED|295|00:04:55|256K|2
32367950|bsk-baseline-mc|COMPLETED|288|00:04:48||2
32367950.batch|batch|COMPLETED|288|00:04:48|1861752K|2
32367950.extern|extern|COMPLETED|288|00:04:48|260K|2
32367951|bsk-baseline-mc|COMPLETED|389|00:06:29||2
32367951.batch|batch|COMPLETED|389|00:06:29|1870500K|2
32367951.extern|extern|COMPLETED|389|00:06:29|256K|2
32367982|bsk-baseline-mc|COMPLETED|243|00:04:03||2
32367982.batch|batch|COMPLETED|243|00:04:03|1862552K|2
32367982.extern|extern|COMPLETED|243|00:04:03|0|2
32367989|bsk-baseline-mc|COMPLETED|232|00:03:52||2
32367989.batch|batch|COMPLETED|232|00:03:52|1857800K|2
32367989.extern|extern|COMPLETED|232|00:03:52|0|2
32367992|bsk-baseline-mc|COMPLETED|277|00:04:37||2
32367992.batch|batch|COMPLETED|277|00:04:37|1870044K|2
32367992.extern|extern|COMPLETED|277|00:04:37|284K|2
32367995|bsk-baseline-mc|COMPLETED|339|00:05:39||2
32367995.batch|batch|COMPLETED|339|00:05:39|1865288K|2
32367995.extern|extern|COMPLETED|339|00:05:39|256K|2
32368016|bsk-baseline-mc|COMPLETED|293|00:04:53||2
32368016.batch|batch|COMPLETED|293|00:04:53|2191076K|2
32368016.extern|extern|COMPLETED|293|00:04:53|0|2
32368017|bsk-baseline-mc|COMPLETED|232|00:03:52||2
32368017.batch|batch|COMPLETED|232|00:03:52|1869700K|2
32368017.extern|extern|COMPLETED|232|00:03:52|256K|2
32368018|bsk-baseline-mc|COMPLETED|252|00:04:12||2
32368018.batch|batch|COMPLETED|252|00:04:12|1794336K|2
32368018.extern|extern|COMPLETED|252|00:04:12|256K|2
32368068|bsk-baseline-mc|COMPLETED|227|00:03:47||2
32368068.batch|batch|COMPLETED|227|00:03:47|1873356K|2
32368068.extern|extern|COMPLETED|227|00:03:47|0|2
32368070|bsk-baseline-mc|COMPLETED|378|00:06:18||2
32368070.batch|batch|COMPLETED|378|00:06:18|1871440K|2
32368070.extern|extern|COMPLETED|378|00:06:18|256K|2
32368075|bsk-baseline-mc|COMPLETED|236|00:03:56||2
32368075.batch|batch|COMPLETED|236|00:03:56|1864344K|2
32368075.extern|extern|COMPLETED|236|00:03:56|0|2
