JobID|JobName|Partition|State|Elapsed|Start|End|AllocCPUS|ReqMem
19942035.extern|extern||COMPLETED|01:00:08|2025-11-17T15:47:19|2025-11-17T16:47:27|4|
19942035.0|bash||COMPLETED|01:00:08|2025-11-17T15:47:19|2025-11-17T16:47:27|4|
19942123|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:23|2025-11-17T15:56:43|2025-11-18T03:57:06|1|3840M
19942123.batch|batch||CANCELLED|12:00:24|2025-11-17T15:56:43|2025-11-18T03:57:07|1|
19942123.extern|extern||COMPLETED|12:00:24|2025-11-17T15:56:43|2025-11-18T03:57:07|1|
19943179_0|sweep_trainDreamer.sh|amilan|COMPLETED|00:00:44|2025-11-17T16:48:42|2025-11-17T16:49:26|10|37.50G
19943179_0.batch|batch||COMPLETED|00:00:44|2025-11-17T16:48:42|2025-11-17T16:49:26|10|
19943179_0.extern|extern||COMPLETED|00:00:44|2025-11-17T16:48:42|2025-11-17T16:49:26|10|
19945292_0|sweep_trainDreamer.sh|amilan|COMPLETED|00:01:04|2025-11-17T17:06:50|2025-11-17T17:07:54|10|37.50G
19945292_0.batch|batch||COMPLETED|00:01:04|2025-11-17T17:06:50|2025-11-17T17:07:54|10|
19945292_0.extern|extern||COMPLETED|00:01:04|2025-11-17T17:06:50|2025-11-17T17:07:54|10|
19947464_0|sweep_trainDreamer.sh|amilan|TIMEOUT|12:00:07|2025-11-17T17:39:32|2025-11-18T05:39:39|10|37.50G
19947464_0.batch|batch||CANCELLED|12:00:09|2025-11-17T17:39:32|2025-11-18T05:39:41|10|
19947464_0.extern|extern||COMPLETED|12:00:09|2025-11-17T17:39:32|2025-11-18T05:39:41|10|
19948936_[0]|sweep_trainDreamer.sh|ami100|CANCELLED by 1098135|00:00:00|None|2025-11-17T18:07:08|0|120G
19949166_[0]|sweep_trainDreamer.sh|ami100|CANCELLED by 1098135|00:00:00|None|2025-11-17T18:18:31|0|120G
19949776_0|sweep_trainDreamer.sh|ami100|COMPLETED|00:02:41|2025-11-17T18:19:53|2025-11-17T18:22:34|10|37.50G
19949776_0.batch|batch||COMPLETED|00:02:41|2025-11-17T18:19:53|2025-11-17T18:22:34|10|
19949776_0.extern|extern||COMPLETED|00:02:41|2025-11-17T18:19:53|2025-11-17T18:22:34|10|
19951403_0|sweep_trainDreamer.sh|ami100|COMPLETED|00:01:22|2025-11-17T18:38:07|2025-11-17T18:39:29|10|37.50G
19951403_0.batch|batch||COMPLETED|00:01:22|2025-11-17T18:38:07|2025-11-17T18:39:29|10|
19951403_0.extern|extern||COMPLETED|00:01:22|2025-11-17T18:38:07|2025-11-17T18:39:29|10|
19951680_0|sweep_trainDreamer.sh|ami100|COMPLETED|00:00:16|2025-11-17T18:42:18|2025-11-17T18:42:34|10|37.50G
19951680_0.batch|batch||COMPLETED|00:00:16|2025-11-17T18:42:18|2025-11-17T18:42:34|10|
19951680_0.extern|extern||COMPLETED|00:00:16|2025-11-17T18:42:18|2025-11-17T18:42:34|10|
19951971_0|sweep_trainDreamer.sh|ami100|COMPLETED|00:01:28|2025-11-17T18:47:11|2025-11-17T18:48:39|10|37.50G
19951971_0.batch|batch||COMPLETED|00:01:28|2025-11-17T18:47:11|2025-11-17T18:48:39|10|
19951971_0.extern|extern||COMPLETED|00:01:28|2025-11-17T18:47:11|2025-11-17T18:48:39|10|
19952388_0|sweep_trainDreamer.sh|ami100|COMPLETED|00:01:41|2025-11-17T18:54:25|2025-11-17T18:56:06|10|37.50G
19952388_0.batch|batch||COMPLETED|00:01:41|2025-11-17T18:54:25|2025-11-17T18:56:06|10|
19952388_0.extern|extern||COMPLETED|00:01:41|2025-11-17T18:54:25|2025-11-17T18:56:06|10|
19953463_0|sweep_trainDreamer.sh|ami100|COMPLETED|00:01:41|2025-11-17T19:09:05|2025-11-17T19:10:46|10|37.50G
19953463_0.batch|batch||COMPLETED|00:01:41|2025-11-17T19:09:05|2025-11-17T19:10:46|10|
19953463_0.extern|extern||COMPLETED|00:01:41|2025-11-17T19:09:05|2025-11-17T19:10:46|10|
19953887_0|sweep_trainDreamer.sh|aa100|COMPLETED|00:03:43|2025-11-18T08:24:44|2025-11-18T08:28:27|10|37.50G
19953887_0.batch|batch||COMPLETED|00:03:43|2025-11-18T08:24:44|2025-11-18T08:28:27|10|
19953887_0.extern|extern||COMPLETED|00:03:43|2025-11-18T08:24:44|2025-11-18T08:28:27|10|
19955446|gpu_test.sh|atesting_a100|FAILED|00:00:05|2025-11-17T19:41:31|2025-11-17T19:41:36|10|37.50G
19955446.batch|batch||FAILED|00:00:05|2025-11-17T19:41:31|2025-11-17T19:41:36|10|
19955446.extern|extern||COMPLETED|00:00:05|2025-11-17T19:41:31|2025-11-17T19:41:36|10|
19955666|gpu_test.sh|atesting_a100|COMPLETED|00:00:24|2025-11-17T19:44:01|2025-11-17T19:44:25|10|37.50G
19955666.batch|batch||COMPLETED|00:00:24|2025-11-17T19:44:01|2025-11-17T19:44:25|10|
19955666.extern|extern||COMPLETED|00:00:24|2025-11-17T19:44:01|2025-11-17T19:44:25|10|
